Name of preset,Alternative names,Atmosphere,business_type,section_type ,path,atmosphere_original,reviewed
Card Spread,"3D rotate, scroll 3D, tumble, revolve, gyroscope","[""smooth"", ""gentle"", ""subtle"", ""elegant"", ""soft"", ""clean"", ""refined"", ""graceful"", ""cloudy"", ""understated"", ""classic"", ""high-end"", ""modern"", ""gradual"", ""shape""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce,Gaming, Health, Fitness, Wellness, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies,Corporate Websites.","Hero, Product Section, Services Section, Cards, Interactive Cards",Gallery-and-Carousel/CardSpread.html,"[""smooth"", ""gentle"", ""subtle"", ""elegant"", ""soft"", ""clean"", ""refined"", ""graceful"", ""cloudy"", ""understated"", ""classic"", ""high-end"", ""modern""]",2026-08-30T11:21:13
expand horzinotal scroll,,"[""fluid"", ""cool"", ""impactful"", ""bold"", ""attention-grabbing"", ""dynamic"", ""edgy"", ""sophisticated"", ""high-end"", ""playful"", ""horizontal movement"", ""graphic"", ""immersive""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce,, Media, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Hero, Product Section, Services Section, Case Studies, Team, How It Works, Testimonials, Feature Gallery, Cards, Interactive Cards.",Gallery-and-Carousel/ExpandingHorizontalScroll.html,"[""fluid"", ""cool"", ""impactful"", ""bold"", ""attention-grabbing"", ""dynamic"", ""edgy"", ""sophisticated"", ""high-end"", ""playful"", ""horizontal movement""]",2026-08-30T13:05:22
sticky repeater stack,"blink, quick flash, eye wink, flicker, twinkle","[""playful"", ""charming"", ""unique"", ""depth"", ""z axis"", ""zoom"", ""edgy"", ""silky"", ""fun"", ""futuristic""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, eCommerce, Retail, Entertainment, Gaming, Health, Wellness, Education, Finance, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Festivals, Art, Culture, Museums, Restaurants, Beauty, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Wedding & Event","Hero, Gallery, Product Section, Services Section, Case Studies, How It Works,, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/StickyRepeaterStack.html,,2026-08-30T13:14:30
horiznotal & vertical scroll,"lean, slant, tip, angle, cant","[""creative"", ""unique"", ""bold"", ""dynamic"", ""classic"", ""playful"", ""confident"", ""silky"", ""horizontal scroll"", ""vertical"", ""futuristic"", ""edgy""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Wedding & Event","Hero, Gallery, Product Section, Services Section, Case Studies, How It Works,, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/HorizontalAndVerticalScroll.html,"[""creative"", ""unique"", ""bold"", ""dynamic"", ""classic"", ""playful"", ""confident"", ""silky""]",2026-08-30T11:12:05
title folds scroll animation,"morph, shape morph, blob morph, form change, reshape","[""organic"", ""fluid"", ""creative"", ""smooth"", ""transformative"", ""silky"", ""eye catching"", ""effortless"", ""flowing"", ""gradual""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, eCommerce, Retail, Entertainment, Fitness, Wellness, SaaS, Real Estate, Architecture, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Wedding & Event,.","Hero,, Product Section, Services Section, Feature Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/TitleFoldsScrollAnimation.html,,2026-08-30T13:14:38
classic horziontal scroll,,"[""horizontal scroll"", ""smooth"", ""clean"", ""elegant"", ""flowing"", ""graceful"", ""seamless"", ""polished"", ""effortless"", ""simple"", ""silky"", ""classic"", ""gradual""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Hero, Product Section, Services Section, Feature Gallery, Gallery, Cards, Portfolio, How it works",Gallery-and-Carousel/ClassicHorizontalScroll.html,"[""horizontal scroll"", ""smooth"", ""clean"", ""elegant"", ""flowing"", ""graceful"", ""seamless"", ""polished"", ""effortless"", ""simple"", ""silky""]",2026-08-30T11:27:44
corner fold scroll animation,"scale, size change, grow/shrink, rescale, mouse effect effect","[""dynamic"", ""energetic"", ""continuous"", ""flowing"", ""smooth"", ""circular"", ""silky"", ""effortless"", ""gradual"", ""playful"", ""modern"", ""elegant"", ""poppy""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, eCommerce, Retail, Entertainment, Fitness, Wellness, SaaS, Real Estate, Architecture, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Wedding & Event,.","Hero,Product Section, Services Section, Feature Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/CornerFoldScrollAnimation.html,"[""dynamic"", ""energetic"", ""continuous"", ""flowing"", ""smooth"", ""circular"", ""silky"", ""effortless"", ""gradual"", ""playful"", ""modern""]",2026-08-30T11:28:04
Shape scroll,"scroll, turn, swivel, rotate 360, roll","[""bold"", ""graphic"", ""expressive"", ""surprising"", ""energetic"", ""dynamic"", ""interactive"", ""fun"", ""poppy"", ""flowing"", ""effortless""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, eCommerce, Entertainment, Fitness, Wellness, Real Estate, Architecture, Travel, Events, Festivals, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Wedding & Event,.","Hero, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",Gallery-and-Carousel/ShapeScroll.html,"[""playful"", ""bold"", ""graphic"", ""expressive"", ""surprising"", ""energetic"", ""dynamic"", ""interactive"", ""fun"", ""poppy"", ""flowing""]",2026-08-30T13:12:42
3D rotating fan ,,"[""playful"", ""3d effect"", ""cool"", ""dynamic"", ""energetic"", ""interactive"", ""fun"", ""poppy"", ""flowing"", ""modern"", ""edgy"", ""layered"", ""dimensional""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Hero, gallery, Product Section, Services Section, Case Studies,, About, Team, How It Works, Testimonials, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",,,
3D room,"cross out, crisscross, cross swing, pass screen","[""playful"", ""interactive"", ""bold"", ""graphic"", ""expressive"", ""3d effect"", ""circular"", ""zoom"", ""depth"", ""experimental"", ""elegant"", ""immersive"", ""layered"", ""dimensional""]","Creative Agencies, Design Studios, Tech Companies, Startups, Fashion Brands, Lifestyle Brands, Luxury Brands, Automotive, eCommerce, Retail, Entertainment, Media, Streaming Services, Gaming, Health, Fitness, Wellness, Education, Finance, Banking, SaaS, Real Estate, Architecture, Hospitality, Travel, Events, Conferences, Festivals, Nonprofits, Art, Culture, Museums, Restaurants, Beauty, Cosmetics, Music, Performing Arts, Interior Design, Home Decor, Marketing & Consulting Agencies, Environmental & Sustainability Initiatives, Wedding & Event, Corporate Websites.","Hero, gallery, Product Section, Services Section, Case Studies,, About, Team, How It Works, Testimonials, Feature Gallery, Gallery, Cards, Interactive Cards, Portfolio",,,
